Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF_0603_25V,
"C10, C4, C5, C8",0603,4,0.1uF_0603_16V,
C2,0603,1,18pF/50V,
C3,0603,1,18pF_0603_50V,
"C6, C7",0603,2,4.7uF_1206_lowESR,
C9,0603,1,1nF_0603_50V,
"FB1, FB2, FB3",0603,3,Ferrite_Bead,
"H1, H2, H3, H4",MountingHole_3.2mm_Pad,4,MountingHole_M3_3.2mm_Pad,
IC1,SOP65P780X200-20N,1,WM8804GEDS_RV,
IC2,SOT95P237X112-3N,1,MAX809SEUR+,
IC3,SOT-23-5,1,ME6211C33M5,
J1,936,1,936,
LED1,0603,1,BLUE,
PH1,PinHeader_1x06_P2.54mm_Vertical,1,PINHD_1x6_Male,
PH2,PinHeader_2x02_P2.54mm_Vertical,1,PINHD_2x2_Male,
"R1, R2, R5",0603,3,1K,
R3,0603,1,10K,
R4,0603,1,R_0603,
X1,Crystal_HC18-U_Vertical,1,12MHz,
X2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,SMD3225-4,
