Designator,Mid X,Mid Y,Rotation,Layer
C1,146.51,-75.09,0.0,top
C10,167.58,-65.21,0.0,top
C2,146.51,-72.09,0.0,top
C3,163.25,-75.11,0.0,top
C4,163.25,-72.11,0.0,top
C5,163.25,-69.11,0.0,top
C6,146.51,-60.12,0.0,top
C7,146.51,-78.09,0.0,top
C8,146.51,-81.09,0.0,top
C9,163.25,-66.11,0.0,top
FB1,150.3425,-79.34,0.0,top
FB2,158.955,-65.2,0.0,top
FB3,158.91,-58.81,0.0,top
H1,173.38,-57.09,0.0,top
H2,136.39,-57.09,0.0,top
H3,136.38,-84.09,0.0,top
H4,173.38,-84.09,0.0,top
IC1,154.92,-70.6,0.0,top
IC2,154.89,-61.85,0.0,top
IC3,154.8825,-79.4275,180.0,top
J1,134.436,-70.58,270.0,top
LED1,165.56,-56.57,0.0,top
PH1,175.48,-70.58,0.0,top
PH2,169.99,-70.59,0.0,top
R1,158.91,-61.81,0.0,top
R2,146.515,-66.12,0.0,top
R3,146.51,-63.12,0.0,top
R4,146.55,-69.15,0.0,top
R5,167.59,-61.81,0.0,top
X1,163.25,-79.34,0.0,top
X2,163.25,-61.84,0.0,top
